                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.32863,                  1.153,                 0.8176,                0.78602,                0.77601,                0.82031,                0.79269,                0.30143,                 1.2817,                0.79933,              3.332e-05,              3.332e-05,              3.332e-05
                      2,                0.30362,                 1.0754,                0.80642,                0.75589,                0.83911,                0.81118,                0.79335,                0.28079,                 1.2975,                0.79731,             7.4228e-05,             7.4228e-05,             7.4228e-05
                      3,                0.29405,                 1.0354,                 0.8006,                0.77049,                0.82515,                0.89604,                0.86943,                 0.3189,                 1.3209,                0.80194,             0.00011431,             0.00011431,             0.00011431
                      4,                0.30318,                0.96705,                0.80145,                0.83976,                 0.8238,                 0.9086,                0.88767,                0.27881,                 1.3555,                0.79784,             0.00015357,             0.00015357,             0.00015357
                      5,                 0.3209,                 0.9726,                0.82876,                0.83653,                0.80181,                0.88007,                0.86168,                0.26717,                 1.4387,                0.79711,               0.000192,               0.000192,               0.000192
                      6,                0.32333,                  0.933,                 0.8123,                0.73726,                0.81139,                0.85922,                0.84696,                0.27454,                 1.4565,                0.80104,             0.00022961,             0.00022961,             0.00022961
                      7,                0.29292,                0.90235,                0.81634,                0.87736,                0.63628,                0.67889,                  0.664,                0.28596,                 1.5471,                0.80447,              0.0002664,              0.0002664,              0.0002664
                      8,                0.29781,                0.85384,                0.81986,                0.64873,                 0.8043,                0.75727,                 0.7477,                0.28555,                  1.465,                0.80296,             0.00030236,             0.00030236,             0.00030236
                      9,                0.28914,                 0.8411,                0.80035,                0.87308,                 0.8187,                0.95854,                0.93916,                0.28181,                 1.2432,                0.79456,             0.00033749,             0.00033749,             0.00033749
                     10,                 0.3095,                0.86886,                0.78791,                0.88007,                0.77617,                 0.8926,                0.88374,                0.27103,                 1.3877,                0.79729,              0.0003718,              0.0003718,              0.0003718
                     11,                 0.3104,                0.90138,                0.80853,                0.82618,                0.79771,                 0.8776,                0.85145,                0.29479,                  1.198,                0.79897,             0.00040529,             0.00040529,             0.00040529
                     12,                0.33705,                0.89737,                0.79823,                 0.8954,                0.79162,                0.91087,                0.89143,                0.29033,                 1.0524,                0.79995,             0.00043795,             0.00043795,             0.00043795
                     13,                 0.2987,                0.79753,                 0.8067,                0.82658,                0.79379,                0.85692,                0.82465,                0.30247,                 1.0292,                0.80077,             0.00046979,             0.00046979,             0.00046979
                     14,                0.29784,                0.78264,                0.79812,                0.76509,                0.91182,                0.88958,                0.84354,                0.34604,                 1.0399,                 0.8017,              0.0005008,              0.0005008,              0.0005008
                     15,                 0.2903,                0.78985,                0.78657,                0.68497,                0.90753,                0.87698,                0.85276,                0.29617,                 1.1362,                0.79612,             0.00053098,             0.00053098,             0.00053098
                     16,                0.31348,                0.83719,                0.82402,                0.81822,                0.78125,                0.88522,                0.87899,                0.28278,                 1.2079,                0.79418,             0.00056035,             0.00056035,             0.00056035
                     17,                0.29944,                0.81285,                0.81088,                0.75317,                0.77673,                0.86531,                0.83306,                0.31649,                  1.437,                0.80513,             0.00058888,             0.00058888,             0.00058888
                     18,                 0.3323,                0.89155,                0.80867,                0.75799,                0.85956,                0.85312,                0.82245,                0.31375,                 1.3487,                0.79983,              0.0006166,              0.0006166,              0.0006166
                     19,                0.32164,                0.76613,                0.78964,                0.76959,                 0.8125,                0.79024,                0.75513,                0.30398,                  1.395,                 0.7933,             0.00064349,             0.00064349,             0.00064349
