                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40821,                 3.8237,                0.85706,                0.00976,                0.98214,                 0.1682,                0.15545,                0.34634,                 3.9314,                0.77523,              5.831e-05,              5.831e-05,              5.831e-05
                      2,                 0.4218,                 3.1605,                0.83918,                0.00949,                      1,                0.21374,                0.20372,                0.33857,                 3.6869,                0.74059,             0.00012371,             0.00012371,             0.00012371
                      3,                0.42458,                 2.6456,                0.84826,                0.00908,                      1,                0.17511,                0.16645,                 0.3374,                 3.5634,                0.74204,              0.0001878,              0.0001878,              0.0001878
                      4,                0.41782,                 2.4149,                0.84625,                0.00933,                      1,                0.23326,                0.22234,                0.33133,                 3.4973,                 0.7401,             0.00025056,             0.00025056,             0.00025056
                      5,                0.39102,                 2.2261,                0.81821,                0.00815,                      1,                0.29688,                0.28657,                0.30793,                  3.375,                0.74019,             0.00031201,             0.00031201,             0.00031201
                      6,                0.38675,                 2.0567,                0.82247,                  0.875,                 0.0899,                0.39768,                0.38281,                0.31441,                 3.2081,                0.77293,             0.00037213,             0.00037213,             0.00037213
                      7,                0.37511,                 1.8405,                0.82225,                0.98674,                0.09375,                0.48966,                 0.4719,                0.29233,                 3.2317,                0.77441,             0.00043094,             0.00043094,             0.00043094
                      8,                0.35645,                 1.6566,                0.82338,                0.66711,                0.49793,                0.55538,                0.52952,                0.29617,                 2.9099,                0.78275,             0.00048842,             0.00048842,             0.00048842
                      9,                0.37119,                 1.5164,                0.83522,                0.52549,                0.59436,                0.55189,                0.53491,                 0.2865,                 2.6825,                0.78642,             0.00054459,             0.00054459,             0.00054459
                     10,                0.36987,                 1.4673,                0.83257,                0.58373,                0.69273,                0.60711,                0.58451,                0.31076,                 2.5448,                0.78292,             0.00059944,             0.00059944,             0.00059944
                     11,                0.37294,                 1.4197,                0.81404,                0.53829,                0.63471,                0.49534,                0.47448,                0.31378,                 2.7475,                0.78349,             0.00065296,             0.00065296,             0.00065296
                     12,                0.36391,                 1.3373,                0.82872,                0.55376,                0.86642,                0.68828,                0.65872,                0.32374,                 2.1914,                0.78642,             0.00070517,             0.00070517,             0.00070517
