                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8913,                 4.1088,                 1.8244,                 0.0159,                0.76702,                0.09035,                0.04691,                0.73233,                 4.2908,                 1.0201,              7.497e-05,              7.497e-05,              7.497e-05
                      2,                   1.19,                 3.5875,                 1.2249,                0.01348,                0.73218,                0.11383,                0.01831,                 1.0644,                 4.5825,                 1.4143,              0.0001567,              0.0001567,              0.0001567
                      3,                 1.0788,                 2.9635,                 1.1191,                0.01209,                0.94661,                0.15468,                0.04016,                 1.1306,                 4.2936,                 1.3676,             0.00023679,             0.00023679,             0.00023679
                      4,                  1.041,                 2.6924,                  1.136,                0.24341,                0.56004,                0.14781,                0.02432,                 1.1303,                 4.3871,                 1.6545,             0.00031522,             0.00031522,             0.00031522
                      5,                 1.1408,                 2.5375,                 1.1492,                 0.4216,                0.15021,                 0.2091,                0.05223,                  1.587,                 3.7082,                 1.5707,             0.00039201,             0.00039201,             0.00039201
                      6,                0.99672,                 2.5248,                 1.1389,                 0.5334,                0.18971,                0.23303,                0.04651,                 1.3454,                 4.0316,                 1.5342,             0.00046714,             0.00046714,             0.00046714
                      7,                0.92117,                 2.3896,                 1.0917,                0.46927,                0.32935,                0.31663,                0.12443,                 1.5625,                 3.1495,                 1.3823,             0.00054063,             0.00054063,             0.00054063
                      8,                0.98448,                 2.2527,                 1.1417,                0.32777,                0.47446,                0.34433,                0.08303,                 2.1321,                 3.0267,                 2.1242,             0.00061247,             0.00061247,             0.00061247
                      9,                0.92072,                 2.2822,                 1.0587,                0.37958,                0.34045,                0.34545,                0.16015,                 1.3546,                 2.9167,                 1.2361,             0.00068265,             0.00068265,             0.00068265
                     10,                0.93953,                 2.2441,                 1.0773,                0.33961,                0.51916,                0.42353,                0.14712,                 1.6476,                 2.6524,                 1.4668,             0.00075119,             0.00075119,             0.00075119
                     11,                 0.8491,                  2.133,                 1.0454,                0.38714,                0.73477,                0.47473,                0.21767,                 1.5922,                 2.2118,                 1.4191,             0.00075053,             0.00075053,             0.00075053
                     12,                0.87724,                 2.0247,                 1.0417,                0.28923,                0.67865,                0.43373,                0.29079,                 0.9888,                 2.4417,                 1.0114,             0.00074229,             0.00074229,             0.00074229
                     13,                0.82985,                 2.0759,                 1.0078,                0.30875,                0.82967,                0.50205,                0.35237,                 1.0064,                 2.0703,                 1.0004,             0.00073404,             0.00073404,             0.00073404
