                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0472,                  4.052,                  1.947,                0.01206,                0.95089,                0.13051,                 0.0744,                0.64373,                 4.2733,                0.90135,              5.831e-05,              5.831e-05,              5.831e-05
                      2,                 1.2657,                 3.7464,                 1.3055,                 0.0149,                0.68601,                0.13099,                0.01679,                 1.1762,                 4.8181,                 1.4739,             0.00012371,             0.00012371,             0.00012371
                      3,                 1.0948,                 3.1491,                 1.1433,                0.01361,                      1,                0.22879,                0.07775,                0.99181,                 4.5723,                 1.2141,              0.0001878,              0.0001878,              0.0001878
                      4,                 1.1723,                 2.7776,                 1.1369,                 0.0093,                0.55357,                0.11698,                0.01242,                0.93422,                  4.704,                 1.2616,             0.00025056,             0.00025056,             0.00025056
                      5,                 1.0493,                 2.6461,                 1.1044,                0.01091,                0.82589,                0.23869,                0.03519,                  1.024,                 4.7407,                 1.4966,             0.00031201,             0.00031201,             0.00031201
                      6,                   1.02,                 2.5231,                 1.1185,                0.24605,                0.72024,                0.30318,                 0.0564,                 1.1186,                 4.6391,                 1.5878,             0.00037213,             0.00037213,             0.00037213
                      7,                0.94133,                  2.398,                 1.0919,                0.58613,                0.06584,                 0.2466,                0.06623,                  1.383,                 4.0822,                 1.4661,             0.00043094,             0.00043094,             0.00043094
                      8,                0.93031,                 2.3181,                 1.0542,                0.39491,                0.19563,                0.25503,                0.07558,                  1.668,                 3.7268,                 1.4844,             0.00048842,             0.00048842,             0.00048842
                      9,                0.84951,                  2.198,                 1.0154,                0.37947,                0.22024,                0.34046,                0.12138,                 1.6703,                  3.413,                  1.433,             0.00054459,             0.00054459,             0.00054459
                     10,                 0.9139,                 2.1231,                 1.0552,                0.50398,                0.41667,                0.30878,                0.14882,                 1.5711,                 3.2407,                 1.3441,             0.00059944,             0.00059944,             0.00059944
